Year,Title,Character(s),Actor,Notes,Country,Identity
2010,Valentine's Day,Sean Jackson,Eric Dane,"Sean comes out on national television, and Holden, Sean's lover, goes back to him",United States,Gay
2010,Valentine's Day,Holden Wilson,Bradley Cooper,,United States,Gay
2011,Bernie,Bernie Tiede,Jack Black,"Bernie is a closeted, yet flamboyant mortician who befriends a mean elderly widow.",United States,Gay
2011,The Best Exotic Marigold Hotel,Graham Dashwood,Tom Wilkinson,,United Kingdom,Gay
2011,The Broken Tower,Hart Crane,James Franco,Biopic about the American poet.,United States,Gay
2011,The Broken Tower,Emile Opffer,Michael Shannon,,United States,Gay
2011,The Guard,Garda Aidan McBride,Rory Keenan,,"Ireland, United Kingdom",Gay
2011,J. Edgar,J. Edgar Hoover,Leonardo DiCaprio,,United States,Gay
2011,Just Go With It,Ian Maxtone-Jones,Dave Matthews,,United States,Gay
2011,The Ledge,Chris,Christopher Gorham,,United States,Gay
2011,Love Actually... Sucks!,Bridesman,Ryo van Kooten,"Inspired by real-life events, the film tells a series of interconnected stories, several with LGBT relationships. The opening wedding banquet reveals a sex affair between the bridegroom and a bridesman. Other stories include a married painter who falls in love with his young male life model, a dance school teacher who becomes involved with his senior student, and a role-playing lesbian couple.",Hong Kong,Gay
2011,Love Actually... Sucks!,Model,Tang Wei,,Hong Kong,Gay
2011,Love Actually... Sucks!,Painter,John Tai,,Hong Kong,Gay
2011,North Sea Texas,Pim,Jelle Florizoone,,Belgium,Gay
2011,Tinker Tailor Soldier Spy,Peter Guillam,Benedict Cumberbatch,Peter is a spy.,United Kingdom,Gay
2011,The Unkabogable Praybeyt Benjamin,Private Benjamin Santos VIII,Vice Ganda,A gay man who joins the military to save his grandfather,Philippines,Gay
2011,Weekend,Russell,Tom Cullen,,United Kingdom,Gay
2011,Weekend,Glen,Chris New,,United Kingdom,Gay
2012,Celeste and Jesse Forever,Scott,Elijah Wood,,United States,Gay
2012,Cloud Atlas,Rufus Sixsmith,James D'Arcy,Rufus is Robert's lover.,"Germany, United States",Gay
2012,"For a Good Time, Call...",Jesse,Justin Long,,United States,Gay
2012,Four,Joe,Wendell Pierce,,United States,Gay
2012,Ginger & Rosa,Mark,Timothy Spall,,"United Kingdom, Denmark, Canada",Gay
2012,Ginger & Rosa,Mark II,Oliver Platt,,"United Kingdom, Denmark, Canada",Gay
2012,Hit and Run,Terry Rathbinn,Jess Rowland,,United States,Gay
2012,On the Road,Tall thin salesman,Steve Buscemi,,"France, United Kingdom, Mexico, Brazil, United States, Canada",Gay
2012,The Paperboy,Ward Jansen,Matthew McConaughey,"Ward is not resented by his brother Jack for being a homosexual, but for keeping it a secret from him.",United States,Gay
2012,The Perks of Being a Wallflower,Brad,Johnny Simmons,,United States,Gay
2012,The Perks of Being a Wallflower,Patrick,Ezra Miller,,United States,Gay
2012,Rock of Ages,Lonny Barnett,Russell Brand,,United States,Gay
2012,Rock of Ages,Dennis Dupree,Alec Baldwin,,United States,Gay
2012,Sassy Pants,Chip Hardy,Haley Joel Osment,Chip is Dale's boyfriend.,United States,Gay
2012,Sassy Pants,Dale Pinto,Diedrich Bader,,United States,Gay
2012,Speechless,Luke,Pierre-Matthieu Vital,,"Hong Kong, China",Gay
2012,Struck by Lightning,Nicholas Forbes,Carter Jenkins,,United States,Gay
2012,Struck by Lightning,Scott Thomas,Graham Rogers,,United States,Gay
2012,Ted,Guy,Patrick Warburton,,United States,Gay
2012,Ted,Jared,Ryan Reynolds,,United States,Gay
2013,After the Dark,Jack,Freddie Stroma,,"Indonesia, United States",Gay
2013,The Amazing Praybeyt Benjamin,Private Benjamin Santos VIII,Vice Ganda,,Philippines,Gay
2013,Baggage Claim,Sam,Adam Brody,,United States,Gay
2013,The Bling Ring,Marc Hall,Israel Broussard,,"United States, United Kingdom, France, Germany, Japan",Gay
2013,Blue Is the Warmest Colour,Valentin,Sandor Funtek,Valentin is Adèle's close friend.,"France, Belgium, Spain",Gay
2013,Free Fall,Kay Engel,Max Riemelt,,Germany,Gay
2013,G.B.F.,Tanner Daniels,Michael J. Willett,,United States,Gay
2013,G.B.F.,Brent Van Camp,Paul Iacono,,United States,Gay
2013,Geography Club,Russell Middlebrook,Cameron Deane Stewart,,United States,Gay
2013,Grown Ups 2,Kyle,Oliver Hudson,,United States,Gay
2013,Grown Ups 2,Nick,Nick Swardson,,United States,Gay
2013,Kick-Ass 2,Insect-Man,Robert Emms,"Insect-Man is an insect-themed superhero and a member of the Justice Forever team. He was bullied, inspiring him to become a superhero to stand up for the defenseless. He does not wear a mask because hiding his identity would feel like going back into the closet.","United Kingdom, United States",Gay
2013,Kill Your Darlings,Lucien Carr,Dane DeHaan,,United Kingdom,Gay
2013,The Mortal Instruments: City of Bones,Alec Lightwood,Kevin Zegers,Magnus is a warlock.,"Canada, Germany, United States, United Kingdom",Gay
2013,Philomena,Michael,Sean Mahon,,"France, United Kingdom, United States",Gay
2013,Pit Stop,Ernesto,Marcus DeAnda,,United States,Gay
2013,Pit Stop,Gabe,Bill Heck,,United States,Gay
2013,SDU: Sex Duties Unit,Hai Mai,Derek Tsang,,Hong Kong,Gay
2013,Starred Up,Neville Love,Ben Mendelsohn,Neville falls in love with his male inmate.,United Kingdom,Gay
2013,Tom at the Farm,Tom Podowski,Xavier Dolan,"Tom travels to an isolated farm for his lover's funeral where he's quickly drawn into a twisted, sexually charged game by his lover's aggressive brother, Francis.",Canada,Gay
2013,Voyage,Ryo,Ryo van Kooten,"Filmed across Asia and Europe, the story follows the journey of Ryo, a young Hong Kong psychiatrist, who is accompanied by his male lover as he visits former patients in neighbouring countries of South East Asia. Several of his clients are themselves in LGBT relationships. (The film features frequent full-frontal male nudity.)",Hong Kong,Gay
2013,Voyage,Jip,Jason Poon,,Hong Kong,Gay
2014,Blackbird,Randy Rousseau,Julian Walker,,United States,Gay
2014,Boulevard,Nolan Mack,Robin Williams,,United States,Gay
2014,Dear White People,Lionel Higgins,Tyler James Williams,,United States,Gay
2014,Futuro Beach,Donato,Wagner Moura,,"Brazil, Germany",Gay
2014,Futuro Beach,Konrad,Clemens Schick,,"Brazil, Germany",Gay
2014,The Imitation Game,Alan Turing,"Benedict Cumberbatch (adult)
Alex Lawther (young)","Biopic about Turing, who deciphered the code of the Enigma machine, a device used by Nazi Germany during World War II. After the end of the war, he is convicted of indecency because of his homosexuality, undergoes chemical castration, and later commits suicide.
The young Turing was close to his classmate Christopher Morcom, and they passed written encoded notes to each other. Their friendship ends when Christopher dies from bovine tuberculosis. Turing names the Enigma-breaking machine ""Christopher"" after him.",United States,Gay
2014,The Imitation Game,Christopher Morcom,Jack Bannon,,United States,Gay
2014,Jongens,Marc,Ko Zandvliet,,Netherlands,Gay
2014,Jongens,Sieger,Gijs Blom,,Netherlands,Gay
2014,Lilting,Kai,Andrew Leung,The film tells the story of a mother's attempt at understanding who her son was after his untimely death. Her world is suddenly disrupted by the presence of his lover.,United Kingdom,Gay
2014,Lilting,Richard,Ben Whishaw,,United Kingdom,Gay
2014,Love Is Strange,George Garea,Alfred Molina,"Ben and George, a couple from Manhattan, get married after 39 years together.","United States, France",Gay
2014,Love Is Strange,Ben Hull,John Lithgow,,"United States, France",Gay
2014,Obvious Child,Joey,Gabe Liedman,,United States,Gay
2014,Pride,Mark Ashton,Ben Schnetzer,,United Kingdom,Gay
2014,Pride,Mike Jackson,Joe Gilgun,,United Kingdom,Gay
2014,Pride,Jonathan Blake,Dominic West,,United Kingdom,Gay
2014,Pride,Gethin Roberts,Andrew Scott,,United Kingdom,Gay
2014,Pride,Jeff Cole,Freddie Fox,,United Kingdom,Gay
2014,Pride,Reggie,Chris Overton,,United Kingdom,Gay
2014,Pride,Ray,Joshua Hill,,United Kingdom,Gay
2014,Pride,"Joe ""Bromley"" Cooper",George Mackay,,United Kingdom,Gay
2014,Pride,Cliff Barry,Bill Nighy,,United Kingdom,Gay
2014,Pride,Tim,Russel Tovey,,United Kingdom,Gay
2014,The Skeleton Twins,Milo Dean,Bill Hader,"Milo reconnects with his high school English teacher Rich, with whom he had a sexual relationship when he was 15.",United States,Gay
2014,Space Station 76,Captain Glenn Terry,Patrick Wilson,,United States,Gay
2014,Space Station 76,Daniel,Matthew Morrison,,United States,Gay
2014,The Way He Looks,Leonardo,Ghilherme Lobo,"Leonardo is a blind high school student who falls in love with the new kid, Gabriel.
Gabriel falls in love with Leo. He was once aroused when he saw Leo naked in the showers.",Brazil,Gay
2014,The Way He Looks,Gabriel,Fabio Audi,,Brazil,Gay
2014,White Bird in a Blizzard,Mickey,Mark Indelicato,,"France, United States",Gay
2015,4th Man Out,Adam,Evan Todd,Adam struggles to come out as gay to his three best friends.,United States,Gay
2015,American Ultra,Petey Douglas,Tony Hale,,United States,Gay
2015,Burnt,Tony Balerdi,Daniel Brühl,Tony is a restaurant owner who's in love with Adam.,United States,Gay
2015,Entourage,Lloyd Lee,Rex Lee,"Lloyd gets married to Greg Louganis. His former boss, Ari, gives him away at the wedding.",United States,Gay
2015,Get Hard,Chris,T. J. Jagodowski,,United States,Gay
2015,The Heroes of Evil,Aritz,Jorge Clemente,,Spain,Gay
2015,Holding the Man,John Caleo,Craig Stott,,Australia,Gay
2015,Holding the Man,Timothy Conigrave,Ryan Corr,,Australia,Gay
2015,Holy Mess,Oscar,Anton Lundqvist,,Sweden,Gay
2015,Holy Mess,Simon,Anastasios Soulis,,Sweden,Gay
2015,James White,Nick,Scott Mescudi,,United States,Gay
2015,Legend,Ronnie Kray,Tom Hardy,,"United Kingdom, United States",Gay
2015,Legend,Teddy Smith,Taron Egerton,,"United Kingdom, United States",Gay
2015,Stonewall,Danny Winters,Jeremy Irvine,,United States,Gay
2015,Those People,Charlie,Jonathan Gordon,"Charlie has always been in love with his best friend Sebastian. Both of them are too afraid to admit their love for each other. But after some life changing events happen in their lives, they try to figure out what their relationship really is.",United States,Gay
2015,Those People,Sebastian,Jason Ralph,,United States,Gay
2015,Utopians,Antonio Ming,Jackie Chow,"Ming is the professor of Hins Gao, and later begins a romantic relationship with him.",Hong Kong,Gay
2015,Wild Horses,Ben Briggs,James Franco,Ben is kicked out of the house by his father for being gay.,United States,Gay
2016,Absolutely Fabulous: The Movie,Himself,Graham Norton,,"United Kingdom, United States",Gay
2016,As You Are,Jack,Owen Campbell,,United States,Gay
2016,As You Are,Mark,Charlie Heaton,,United States,Gay
2016,Being 17,Damien Delille,Klein,"The movie follows the romantic and sexual awakening of Damien and Thomas as their initial animosity, expressed in violence, morphs into love.",France,Gay
2016,Being 17,Thomas Chardoul,Corentin Fila,,France,Gay
2016,Cell,"Thomas ""Tom"" McCourt",Samuel L. Jackson,,United States,Gay
2016,Center of My World,Phil,Louis Hofmann,,Germany,Gay
2016,Center of My World,Nicholas,Jannik Schümann,,Germany,Gay
2016,Curmudgeons,Jackie,Danny DeVito,,United States,Gay
2016,Curmudgeons,Ralph Pajovic,David Margulies,,United States,Gay
2016,Dirty Grandpa,Bradley,Jeffrey Bowyer-Chapman,,United States,Gay
2016,Handsome Devil,Conor Masters,Nicholas Galitzine,,Ireland,Gay
2016,Handsome Devil,Dan Sherry,Andrew Scott,,Ireland,Gay
2016,Heartstone,Kristján,Blær Hinriksson,,Iceland,Gay
2016,Independence Day: Resurgence,Dr. Brackish Okun,Brent Spiner,Dr. Okun is a Scientist. Dr. Isaacs is his co-worker and lover.,United States,Gay
2016,Independence Day: Resurgence,Dr. Isaacs,John Storey,,United States,Gay
2016,It's Only the End of the World,Louis,Gaspard Ulliel,Louis is a playwright dealing with a terminal illness.,"Canada, France",Gay
2016,King Cobra,Brent Corrigan,Garrett Clayton,,United States,Gay
2016,King Cobra,Harlow Cuadra,Keegan Allen,,United States,Gay
2016,King Cobra,Joe Kerekes,James Franco,,United States,Gay
2016,King Cobra,Bryan Kocis,Christian Slater,,United States,Gay
2016,King Cobra,Mikey,Spencer Lofranco,,United States,Gay
2016,Miss Stevens,Sam,Anthony Quintal,,United States,Gay
2016,The Mobfathers,Wulf,Gregory Wong,,Hong Kong,Gay
2016,Moonlight,"Chiron Harris (""Little"" / ""Black"")",Alex Hibbert,,United States,Gay
2016,Neighbors 2: Sorority Rising,Pete Regazolli,Dave Franco,,United States,Gay
2016,Nocturnal Animals,Carlos Holt,Michael Sheen,,United States,Gay
2016,Other People,David Mulcahey,Jesse Plemons,"David has a strained relationship with his father, who still refuses to accept David's sexuality ten years after he came out. He has broken up with his boyfriend Paul.",United States,Gay
2016,Other People,Paul,Zach Woods,,United States,Gay
2016,Rage,Yūma Fujita,Satoshi Tsumabuki,,Japan,Gay
2016,Rage,Sieger,Gijs Blom,,Japan,Gay
2016,Raw,Adrien,Rabah Naït Oufella,,"France, Belgium",Gay
2016,Spa Night,David,Joe Seo,,United States,Gay
2016,Tallulah,Andreas,Zachary Quinto,,United States,Gay
2016,Tallulah,Stephen Mooney,John Benjamin Hickey,,United States,Gay
2016,Two Is a Family,Bernie,Antoine Bertrand,,France,Gay
2017,Alien: Covenant,Carl Lope,Demián Bichir,,"United Kingdom, United States",Gay
2017,Alien: Covenant,Hallett,Nathaniel Dean,,"United Kingdom, United States",Gay
2017,Battle of the Sexes,Ted Tinling,Alan Cumming,Biopic based on champion tennis player Billie Jean King and the 1973 match between her and Bobby Riggs.,"United Kingdom, United States",Gay
2017,Beach Rats,Frankie,Harris Dickinson,Frankie is a repressed Brooklyn teen who has sex with older men.,United States,Gay
2017,Beauty and the Beast,LeFou,Josh Gad,LeFou is Gaston's sidekick.,United States,Gay
2017,God's Own Country,Gheorghe Ionescu,Alec Secareanu,,United Kingdom,Gay
2017,God's Own Country,Johnny Saxby,Josh O'Connor,,United Kingdom,Gay
2017,Lady Bird,Danny O'Neill,Lucas Hedges,,United States,Gay
2017,My Friend Dahmer,Jeffrey Dahmer,Ross Lynch,Based on the serial killer's early life.Dahmer has shown to be obsessed with a male jogger.,United States,Gay
2017,Permission,Hale,David Joseph Craig,,United States,Gay
2017,Permission,Reece,Morgan Spector,,United States,Gay
2017,Rift,Einar,Sigurdur Thor Oskarsson,,Iceland,Gay
2017,Rift,Gunnar,Bjorn Stefansson,,Iceland,Gay
2017,The Shape of Water,Giles,Richard Jenkins,"Elisa's next door neighbor is closeted and fearful, but bravely helps her and the Amphibian Man.",United States,Gay
2017,Speech & Debate,Howie,Austin P. McKenzie,,United States,Gay
2017,Thirty Years of Adonis,Yang Ke,Adonis He Fei,,"Hong Kong, Taiwan, China",Gay
2017,Tom of Finland,Touko Laaksonen,Pekka Strang,Laaksonen is an artist who known for his stylized highly masculinized homoerotic art.,"Finland, Sweden, Denmark, Germany, United States",Gay
2018,Alex Strangelove,Alex Truelove,Daniel Doheny,,United States,Gay
2018,Alex Strangelove,Elliott,Antonio Marziale,,United States,Gay
2018,Bird Box,Greg,BD Wong,,United States,Gay
2018,Bohemian Rhapsody,Jim Hutton,Aaron McCusker,"The film tells the story of the life of Freddie Mercury, the lead singer of British rock band Queen, from the formation of the band in 1970 up to their 1985 Live Aid performance at the original Wembley Stadium.","United Kingdom, United States",Gay
2018,Bohemian Rhapsody,Paul Prenter,Allen Leech,,"United Kingdom, United States",Gay
2018,Bohemian Rhapsody,John Reid,Aidan Gillen,,"United Kingdom, United States",Gay
2018,Boy Erased,Jared Eamons,Lucas Hedges,Jared's childhood in a fundamentalist family in Arkansas that enrolled him in conversion therapy. (Based on Garrard Conley's memoir of the same name.),United States,Gay
2018,Can You Ever Forgive Me?,Jack Hock,Richard E. Grant,Hock is a foppish drifter who helps Israel forging and selling rare literary letters to bolster her failing writing career.,United States,Gay
